Name,Lat,Lon
AR-TF1,-54.9733,-66.7335
BR-CST,-7.9682,-38.3842
BR-Npw,-16.498,-56.412
CA-ARB,52.695,-83.9452
CA-ARF,52.7008,-83.955
CA-Ca1,49.8673,-125.3336
CA-Ca2,49.8705,-125.2909
CA-Cbo,44.3167,-79.9333
CA-CF1,58.6658,-93.83
CA-DB2,49.119,-122.9951
CA-DBB,49.1293,-122.9849
CA-ER1,43.6405,-80.4123
CA-Gro,48.2167,-82.1556
CA-LP1,55.1119,-122.8414
CA-MA1,50.1645,-97.8762
CA-MA2,50.171,-97.8762
CA-MA3,50.1774,-97.8686
CA-NS1,55.8792,-98.4839
CA-NS2,55.9058,-98.5247
CA-NS3,55.9117,-98.3822
CA-NS4,55.9144,-98.3806
CA-NS5,55.8631,-98.485
CA-NS6,55.9167,-98.9644
CA-NS7,56.6358,-99.9483
CA-Qfo,49.6925,-74.3421
CA-SF1,54.485,-105.8176
CA-SF2,54.2539,-105.8775
CA-TP1,42.6609,-80.5595
CA-TP3,42.7068,-80.3483
CA-TPD,42.6353,-80.5577
MX-Tes,27.8446,-109.2977
PE-QFR,-3.8344,-73.319
US-A32,36.8193,-97.8198
US-A74,36.8085,-97.5489
US-ALQ,46.0308,-89.6067
US-AR1,36.4267,-99.42
US-AR2,36.6358,-99.5975
US-ARb,35.5497,-98.0402
US-ARc,35.5465,-98.04
US-ARM,36.6058,-97.4888
US-Bar,44.0646,-71.2881
US-Bi1,38.0992,-121.4993
US-Bi2,38.1091,-121.5351
US-BRG,39.2167,-86.5406
US-BZB,64.6955,-148.3208
US-BZF,64.7013,-148.3121
US-BZo,64.6936,-148.33
US-BZS,64.6963,-148.3235
US-CF1,46.7815,-117.0821
US-CF2,46.784,-117.0908
US-CF3,46.7551,-117.1261
US-CF4,46.7518,-117.1285
US-Cop,38.09,-109.39
US-CRT,41.6285,-83.3471
US-CS1,44.1031,-89.5379
US-CS2,44.1467,-89.5002
US-CS3,44.1394,-89.5727
US-CS4,44.1597,-89.5475
US-DFC,43.3448,-89.7117
US-DS3,38.1235,-121.549
US-EDN,37.6156,-122.114
US-EML,63.8784,-149.2536
US-Fcr,65.3968,-148.9348
US-Fmf,35.1426,-111.7273
US-Fuf,35.089,-111.762
US-GLE,41.3665,-106.2399
US-Ha1,42.5378,-72.1715
US-HB1,33.3455,-79.1957
US-HB2,33.3242,-79.244
US-HB3,33.3482,-79.2322
US-Hn2,46.6889,-119.4641
US-Hn3,46.6878,-119.4614
US-Ho2,45.2091,-68.747
US-HWB,40.8608,-77.8488
US-ICh,68.6068,-149.2958
US-ICs,68.6058,-149.311
US-ICt,68.6063,-149.3041
US-Jo1,32.582,-106.635
US-Jo2,32.5849,-106.6032
US-KFS,39.0561,-95.1907
US-KLS,38.7745,-97.5684
US-Kon,39.0824,-96.5603
US-KS1,28.4583,-80.6709
US-KS2,28.6086,-80.6715
US-KS3,28.7084,-80.7427
US-Lin,36.3566,-119.0922
US-LS2,31.5659,-110.1344
US-Me1,44.5794,-121.5
US-Me2,44.4526,-121.5589
US-Me3,44.3154,-121.6078
US-Me6,44.3233,-121.6078
US-MMS,39.3232,-86.4131
US-Mo1,39.2298,-92.1167
US-Mo2,38.9488,-91.9945
US-Mo3,39.2311,-92.1497
US-MOz,38.7441,-92.2
US-Mpj,34.4385,-106.2377
US-Myb,38.0499,-121.765
US-NC1,35.8118,-76.7119
US-NC3,35.799,-76.656
US-NC4,35.7879,-75.9038
US-Ne1,41.1651,-96.4766
US-NGB,71.28,-156.6092
US-NGC,64.8618,-163.7002
US-NR1,40.0329,-105.5464
US-Oho,41.5545,-83.8438
US-ONA,27.3836,-81.9509
US-ORv,40.0201,-83.0183
US-OWC,41.3795,-82.5125
US-Pnp,43.0896,-89.4158
US-RGA,34.4159,-91.6733
US-RGB,39.5782,-121.8579
US-RGo,39.6805,-122.0026
US-Rls,43.1439,-116.7356
US-Rms,43.0645,-116.7486
US-Ro1,44.7143,-93.0898
US-Ro2,44.7288,-93.0888
US-Ro4,44.6781,-93.0723
US-Ro5,44.691,-93.0576
US-Ro6,44.6946,-93.0578
US-Rpf,65.1198,-147.429
US-Rwe,43.0653,-116.7591
US-Rwf,43.1207,-116.7231
US-Rws,43.1675,-116.7132
US-Seg,34.3623,-106.702
US-Ses,34.3349,-106.7442
US-Sne,38.0369,-121.7547
US-Snf,38.0402,-121.7272
US-SRC,31.9083,-110.8395
US-SRG,31.7894,-110.8277
US-Srr,38.2006,-122.0264
US-SRS,31.8173,-110.8508
US-StJ,39.0882,-75.4372
US-Syv,46.242,-89.3477
US-Ton,38.4309,-120.966
US-Tw1,38.1074,-121.6469
US-Tw2,38.0969,-121.6365
US-Tw3,38.1152,-121.6469
US-Tw4,38.1027,-121.6413
US-Tw5,38.1072,-121.6426
US-UM3,45.5686,-84.6707
US-UMB,45.5598,-84.7138
US-UMd,45.5625,-84.6975
US-Var,38.4133,-120.9508
US-Vcm,35.8884,-106.5321
US-Vcp,35.8642,-106.5967
US-Whs,31.7438,-110.0522
US-Wi0,46.6188,-91.0814
US-Wi1,46.7305,-91.2329
US-Wi3,46.6347,-91.0987
US-Wi4,46.7393,-91.1663
US-Wi5,46.6531,-91.0858
US-Wi6,46.6249,-91.2982
US-Wi7,46.6491,-91.0693
US-Wi8,46.7223,-91.2524
US-Wi9,46.7385,-91.0746
US-Wjs,34.4255,-105.8615
US-Wkg,31.7365,-109.9419
US-WPT,41.4646,-82.9962
US-xAB,45.7624,-122.3303
US-xAE,35.4106,-99.0588
US-xBA,71.2824,-156.6194
US-xBL,39.0603,-78.0716
US-xBN,65.154,-147.5026
US-xBR,44.0639,-71.2873
US-xCL,33.4012,-97.57
US-xCP,40.8155,-104.7456
US-xDC,47.1617,-99.1066
US-xDJ,63.8811,-145.7514
US-xDL,32.5417,-87.8039
US-xDS,28.125,-81.4362
US-xGR,35.689,-83.5019
US-xHA,42.5369,-72.1727
US-xHE,63.8757,-149.2133
US-xJE,31.1948,-84.4686
US-xJR,32.5907,-106.8425
US-xKA,39.1104,-96.6129
US-xKZ,39.1008,-96.5631
US-xMB,38.2483,-109.3883
US-xML,37.3783,-80.5248
US-xNG,46.7697,-100.9154
US-xNQ,40.1776,-112.4524
US-xRM,40.2759,-105.5459
US-xSB,29.6893,-81.9934
US-xSC,38.8929,-78.1395
US-xSE,38.8901,-76.56
US-xSJ,37.1088,-119.7323
US-xSL,40.4619,-103.0293
US-xSR,31.9107,-110.8355
US-xST,45.5089,-89.5864
US-xTA,32.9505,-87.3933
US-xTR,45.4937,-89.5857
US-xUK,39.0404,-95.1921
US-xUN,46.2339,-89.5373
US-xWD,47.1282,-99.2414
US-xYE,44.9535,-110.5391